COUNTRY_CODE,COUNTRY_TITLE,ISO_YEAR,ISO_WEEK,TRANSMISSION,TRANSMISSION_CL,TRANSMISSION_COM,SERIOUSNESS,SERIOUSNESS_CL,SERIOUSNESS_COM,IMPACT,IMPACT_CL,IMPACT_COM,ISO_SD,ISO_ED,ISOYW,ISO_YW,ISO_YW_STR,ISO2,WHOREGION,FLUREGION,FLU_SEASON,COUNTRY_ID,YEAR_ID,WEEK_ID
CAN,Canada,1995,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/2/1995,1/8/1995,199501,1995-01,19951,CA,AMR,FLU_NRT_AMR,North,280,204,44
CAN,Canada,1995,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/9/1995,1/15/1995,199502,1995-02,19952,CA,AMR,FLU_NRT_AMR,North,280,204,45
CAN,Canada,1995,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/16/1995,1/22/1995,199503,1995-03,19953,CA,AMR,FLU_NRT_AMR,North,280,204,46
CAN,Canada,1995,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/23/1995,1/29/1995,199504,1995-04,19954,CA,AMR,FLU_NRT_AMR,North,280,204,47
CAN,Canada,1995,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/30/1995,2/5/1995,199505,1995-05,19955,CA,AMR,FLU_NRT_AMR,North,280,204,48
CAN,Canada,1995,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2/6/1995,2/12/1995,199506,1995-06,19956,CA,AMR,FLU_NRT_AMR,North,280,204,49
CAN,Canada,1995,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2/13/1995,2/19/1995,199507,1995-07,19957,CA,AMR,FLU_NRT_AMR,North,280,204,50
CAN,Canada,1995,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2/20/1995,2/26/1995,199508,1995-08,19958,CA,AMR,FLU_NRT_AMR,North,280,204,51
CAN,Canada,1995,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2/27/1995,3/5/1995,199509,1995-09,19959,CA,AMR,FLU_NRT_AMR,North,280,204,52
CAN,Canada,1995,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/6/1995,3/12/1995,199510,1995-10,199510,CA,AMR,FLU_NRT_AMR,North,280,204,53
CAN,Canada,1995,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/13/1995,3/19/1995,199511,1995-11,199511,CA,AMR,FLU_NRT_AMR,North,280,204,54
CAN,Canada,1995,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/20/1995,3/26/1995,199512,1995-12,199512,CA,AMR,FLU_NRT_AMR,North,280,204,55
CAN,Canada,1995,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/27/1995,4/2/1995,199513,1995-13,199513,CA,AMR,FLU_NRT_AMR,North,280,204,56
CAN,Canada,1995,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/3/1995,4/9/1995,199514,1995-14,199514,CA,AMR,FLU_NRT_AMR,North,280,204,57
CAN,Canada,1995,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/10/1995,4/16/1995,199515,1995-15,199515,CA,AMR,FLU_NRT_AMR,North,280,204,58
CAN,Canada,1995,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/17/1995,4/23/1995,199516,1995-16,199516,CA,AMR,FLU_NRT_AMR,North,280,204,59
CAN,Canada,1995,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/24/1995,4/30/1995,199517,1995-17,199517,CA,AMR,FLU_NRT_AMR,North,280,204,60
CAN,Canada,1995,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5/1/1995,5/7/1995,199518,1995-18,199518,CA,AMR,FLU_NRT_AMR,North,280,204,61
CAN,Canada,1995,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5/8/1995,5/14/1995,199519,1995-19,199519,CA,AMR,FLU_NRT_AMR,North,280,204,62
CAN,Canada,1995,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5/15/1995,5/21/1995,199520,1995-20,199520,CA,AMR,FLU_NRT_AMR,North,280,204,63
CAN,Canada,1995,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5/22/1995,5/28/1995,199521,1995-21,199521,CA,AMR,FLU_NRT_AMR,North,280,204,64
CAN,Canada,1995,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5/29/1995,6/4/1995,199522,1995-22,199522,CA,AMR,FLU_NRT_AMR,North,280,204,65
CAN,Canada,1995,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6/5/1995,6/11/1995,199523,1995-23,199523,CA,AMR,FLU_NRT_AMR,North,280,204,66
CAN,Canada,1995,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6/12/1995,6/18/1995,199524,1995-24,199524,CA,AMR,FLU_NRT_AMR,North,280,204,67
CAN,Canada,1995,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6/19/1995,6/25/1995,199525,1995-25,199525,CA,AMR,FLU_NRT_AMR,North,280,204,68
CAN,Canada,1995,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6/26/1995,7/2/1995,199526,1995-26,199526,CA,AMR,FLU_NRT_AMR,North,280,204,69
CAN,Canada,1995,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/3/1995,7/9/1995,199527,1995-27,199527,CA,AMR,FLU_NRT_AMR,North,280,204,70
CAN,Canada,1995,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/10/1995,7/16/1995,199528,1995-28,199528,CA,AMR,FLU_NRT_AMR,North,280,204,71
CAN,Canada,1995,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/17/1995,7/23/1995,199529,1995-29,199529,CA,AMR,FLU_NRT_AMR,North,280,204,72
CAN,Canada,1995,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/24/1995,7/30/1995,199530,1995-30,199530,CA,AMR,FLU_NRT_AMR,North,280,204,73
